600221-5270,Åsa,Johnsson,Asa.Johnsson@myclub.se,1,-311212800000,4406400000,1
861001-7705,Andreas,Gustafsson,Andreas.Gustafsson@myclub.se,0,528508800000,844128000000,1
041104-4271,Julia,Samuelsson,Julia.Samuelsson@myclub.se,1,1099526400000,1415059200000,1
980412-6543,Simon,Johnsson,Simon.Holmberg@myclub.se,0,892339200000,1207958400000,1
800709-4416,Elisabet,Pettsson,Elisabet.Pettsson@myclub.se,1,331948800000,647481600000,1
750919-2993,Viktor,Lundgren,Viktor.Lundgren@myclub.se,0,180316800000,495936000000,1
810427-7337,Cecilia,Fredriksson,Cecilia.Fredriksson@myclub.se,1,357177600000,672710400000,1
630815-2128,Patrik,Danielsson,Patrik.Danielsson@myclub.se,0,-201398400000,114220800000,1
660218-7299,Anette,Holmberg,Anette.Holmberg@myclub.se,1,-122083200000,193449600000,1
601122-4439,Karl,Johnsson,Karl.Johnsson@myclub.se,0,-287452800000,28080000000,1
900421-7002,Therese,Gunnarsson,Therese.Gunnarsson@myclub.se,1,640656000000,956275200000,1
010617-8850,Carl,Berg,Carl.Berg@myclub.se,0,992736000000,1308268800000,1
740725-2224,Julia,Nilsson,Julia.Nilsson@myclub.se,1,143942400000,459561600000,1
920715-2204,Erik,Johnsson,Erik.Mårtensson@myclub.se,0,711158400000,1026691200000,1
900108-7538,Ulla,Eklund,Ulla.Eklund@myclub.se,1,631756800000,947289600000,1
081104-7735,Michael,Fredriksson,Michael.Fredriksson@myclub.se,0,1225756800000,1541289600000,1
710611-8529,Margaretha,Lundgren,Margaretha.Lundgren@myclub.se,1,45446400000,361065600000,1
051104-4937,Patrik,Magnusson,Patrik.Magnusson@myclub.se,0,1131062400000,1446595200000,1
980102-6358,Matilda,Holm,Matilda.Holm@myclub.se,1,883699200000,1199232000000,1
061123-4735,Robert,Forsberg,Robert.Forsberg@myclub.se,0,1164240000000,1479859200000,1
620219-2295,Margaretha,Lind,Margaretha.Lind@myclub.se,1,-248227200000,67305600000,1
010306-1744,Per,Nyberg,Per.Nyberg@myclub.se,0,983836800000,1299369600000,1
780418-1351,Emma,Engström,Emma.Engström@myclub.se,1,261705600000,577324800000,1
051205-2486,Göran,Berg,Göran.Berg@myclub.se,0,1133740800000,1449273600000,1
080705-6206,Emelie,Jakobsson,Emelie.Jakobsson@myclub.se,1,1215216000000,1530748800000,1
691107-9456,Ove,Lindqvist,Ove.Lindqvist@myclub.se,0,-4752000000,310780800000,1
090908-1990,Åsa,Isaksson,Åsa.Isaksson@myclub.se,1,1252368000000,1567900800000,1
030324-9773,Christian,Jönsson,Christian.Jönsson@myclub.se,0,1048464000000,1364083200000,1
690606-3190,Julia,Mårtensson,Julia.Mårtensson@myclub.se,1,-18057600000,297475200000,1
850209-2219,Mattias,Eriksson,Mattias.Eriksson@myclub.se,0,476755200000,792288000000,1
841124-8046,Matilda,Håkansson,Matilda.Håkansson@myclub.se,1,470102400000,785635200000,1
830723-8615,Stefan,Lundin,Stefan.Lundin@myclub.se,0,427766400000,743385600000,1
010126-5005,Elin,Lindström,Elin.Lindström@myclub.se,1,980467200000,1296000000000,1
790531-1555,Martin,Fransson,Martin.Fransson@myclub.se,0,296956800000,612576000000,1
830305-3602,Frida,Olofsson,Frida.Olofsson@myclub.se,1,415670400000,731289600000,1
910719-5763,Erik,Pettersson,Erik.Pettersson@myclub.se,0,679881600000,995500800000,1
830221-2341,Matilda,Lindqvist,Matilda.Lindqvist@myclub.se,1,414633600000,730252800000,1
031113-5366,Thomas,Lundberg,Thomas.Lundberg@myclub.se,0,1068681600000,1699833600000,1
850720-1467,Christina,Nilsson,Christina.Nilsson@myclub.se,1,490665600000,806198400000,1
061216-3372,Bengt,Fransson,Bengt.Fransson@myclub.se,0,1166227200000,1355616000000,1
040217-7326,Elsa,Lundqvist,Elsa.Lundqvist@myclub.se,1,1076976000000,1550361600000,1
960109-1547,David,Bergman,David.Bergman@myclub.se,0,821145600000,1136764800000,1
030601-8424,Kerstin,Lundberg,Kerstin.Lundberg@myclub.se,1,1054425600000,1370044800000,1
881204-8170,Stefan,Gunnarsson,Stefan.Gunnarsson@myclub.se,0,597196800000,912729600000,1
880406-3859,Elisabeth,Lundqvist,Elisabeth.Lundqvist@myclub.se,1,576288000000,891820800000,1
980317-1462,Bengt,Håkansson,Bengt.Håkansson@myclub.se,0,890092800000,1205712000000,1
741105-1672,Marie,Mårtensson,Marie.Mårtensson@myclub.se,1,152841600000,468460800000,1
010504-1759,Niklas,Bergström,Niklas.Bergström@myclub.se,0,988934400000,1304467200000,1
661115-2005,Kristina,Johnsson,Kristina.Johnsson@myclub.se,1,-98755200000,216864000000,1
760327-5269,John,Larsson,John.Larsson@myclub.se,0,196732800000,512265600000,1
750926-6151,Louise,Andersson,Louise.Andersson@myclub.se,1,180921600000,496540800000,1
010823-5222,Roger,Mårtensson,Roger.Mårtensson@myclub.se,0,998524800000,1314057600000,1
681220-4546,Sofia,Larsson,Sofia.Larsson@myclub.se,1,-32572800000,282960000000,1
660702-2706,Björn,Samuelsson,Björn.Samuelsson@myclub.se,0,-110505600000,205113600000,1
810825-9367,Margareta,Lindberg,Margareta.Lindberg@myclub.se,1,367545600000,683078400000,1
881231-1260,Christer,Hansson,Christer.Hansson@myclub.se,0,599529600000,915062400000,1
640816-1863,Caroline,Lundberg,Caroline.Lundberg@myclub.se,1,-169689600000,145843200000,1
960113-7092,Gustav,Jonsson,Gustav.Jonsson@myclub.se,0,821491200000,1137110400000,1
661215-1229,Marie,Magnusson,Marie.Magnusson@myclub.se,1,-96163200000,219456000000,1
740930-3347,Nils,Engström,Nils.Engström@myclub.se,0,149731200000,465350400000,1
810414-8473,Margaretha,Fransson,Margaretha.Fransson@myclub.se,1,356054400000,671587200000,1
020821-6048,Jonas,Johansson,Jonas.Johansson@myclub.se,0,1029888000000,1345507200000,1
661021-8270,Margaretha,Söderberg,Margaretha.Söderberg@myclub.se,1,-100915200000,214704000000,1
890701-6905,Tomas,Berg,Tomas.Berg@myclub.se,0,615254400000,930787200000,1
780425-9928,Lisa,Isaksson,Lisa.Isaksson@myclub.se,1,262310400000,577929600000,1
